diggCount,createTime,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca,hashtags_0_name,hashtags_1_name,hashtags_2_name,hashtags_3_name,hashtags_4_name,hashtags_5_name,hashtags_6_name,hashtags_7_name,hashtags_8_name,hashtags_9_name,hashtags_10_name,hashtags_11_name,hashtags_12_name,hashtags_13_name,hashtags_14_name,hashtags_15_name,hashtags_16_name,hashtags_17_name,hashtags_18_name,hashtags_19_name,hashtags_20_name,hashtags_21_name,hashtags_22_name,hashtags_23_name,hashtags_24_name,hashtags_25_name,hashtags_26_name,hashtags_27_name,hashtags_28_name,hashtags_29_name,hashtags_30_name,hashtags_31_name,hashtags_32_name,hashtags_33_name,hashtags_34_name,hashtags_35_name,hashtags_36_name,hashtags_37_name,hashtags_38_name,hashtags_39_name,hashtags_40_name,hashtags_41_name,hashtags_42_name,hashtags_43_name,hashtags_44_name,hashtags_45_name,hashtags_46_name,hashtags_47_name
565400,1719802442,2024-07-01T02:54:02.000Z,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,futbol,copaamerica,mexico,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178700,1718586202,2024-06-17T01:03:22.000Z,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,1720658707,2024-07-11T00:45:07.000Z,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ecuador,tiktokecuador,ecuadortiktok🇪🇨,ennervalencia,brasileirao,inter,seleccionecuatoriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733800,1720309945,2024-07-06T23:52:25.000Z,0,0,143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parati,trendecuador,ecuador,asoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394100,1720067531,2024-07-04T04:32:11.000Z,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,viral,fypシ,copaamerica,ecuador,argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120600,1719059762,2024-06-22T12:36:02.000Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,armyecuador,btsecuador,btsxarmy,bt21,bts,fyp,fypシ゚,army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1717796289,2024-06-07T21:38:09.000Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kendrypaez,kendrypaez🇪🇨,novia,nuevanovia,independientedelvalle,ecuador🇪🇨,ecuadortiktok,flypシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700000,1714684142,2024-05-02T21:09:02.000Z,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fypシ,ecuador,viral,parati,foryoupage,ecuador🇪🇨,fyp,bestie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148100,1719800792,2024-07-01T02:26:32.000Z,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ecuador,copaamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221000,1719766157,2024-06-30T16:49:17.000Z,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,copaamerica2024,copaamerica,ecuador,latriecuador,ecuadorvsmexico,seleccionecuatoriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
