diggCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
9991,2024-07-09T15:10:48.000Z,False,False,28,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
997600,2024-02-16T19:24:41.000Z,False,False,59,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
995800,2024-02-15T13:37:31.000Z,False,False,77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99500,2024-07-04T15:22:35.000Z,False,False,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
99300,2024-01-22T21:46:26.000Z,False,False,28,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9924,2024-06-19T03:21:10.000Z,False,False,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9918,2024-07-10T19:33:37.000Z,False,False,52,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
989400,2024-06-23T22:37:46.000Z,False,False,67,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
98800,2024-05-15T11:11:13.000Z,False,False,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
986500,2023-12-16T12:09:41.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98200,2023-03-18T21:43:00.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
98000,2024-05-12T01:01:31.000Z,False,False,7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
98,2024-07-11T02:13:06.000Z,False,False,83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,2024-07-11T02:38:17.000Z,False,False,47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9770,2024-07-10T17:14:11.000Z,False,False,40,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
976,2024-07-10T17:03:37.000Z,False,False,54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9741,2024-07-10T15:26:58.000Z,False,False,208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97400,2024-05-31T21:54:11.000Z,False,False,58,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
973,2024-07-10T17:36:26.000Z,False,False,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9717,2024-05-08T09:45:25.000Z,False,False,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97000,2024-06-28T07:52:40.000Z,False,False,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97000,2023-07-17T17:35:20.000Z,False,False,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
97,2024-07-10T14:05:20.000Z,False,False,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
968300,2024-03-30T22:40:24.000Z,False,False,93,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9674,2023-12-13T05:17:31.000Z,False,False,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
965,2022-08-03T20:17:55.000Z,False,False,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96400,2024-03-29T00:45:09.000Z,False,False,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
964,2024-07-10T19:18:18.000Z,False,False,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
961300,2024-04-09T17:18:20.000Z,False,False,56,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96100,2024-03-13T17:07:03.000Z,False,False,154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9600,2024-06-09T16:04:23.000Z,False,False,59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
96,2024-07-11T02:24:39.000Z,False,False,63,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
956,2024-07-10T16:32:29.000Z,False,False,82,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
956,2024-07-10T16:32:29.000Z,False,False,82,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
95500,2024-02-14T06:18:11.000Z,False,False,23,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
951800,2024-01-04T23:46:18.000Z,False,False,14,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
951800,2024-01-04T23:46:18.000Z,False,False,14,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
95100,2024-01-16T01:47:56.000Z,False,True,71,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9510,2024-04-11T23:52:17.000Z,False,False,41,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
951,2024-07-10T15:46:28.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
950,2024-06-26T02:04:00.000Z,False,False,52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
95,2024-07-03T14:55:07.000Z,False,False,37,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
95,2024-07-10T15:28:04.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9489,2024-06-26T01:31:04.000Z,False,False,85,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
948300,2023-09-30T03:26:59.000Z,False,False,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
94600,2024-03-19T00:56:46.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
94500,2023-10-20T01:49:34.000Z,False,False,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94400,2023-08-05T01:31:52.000Z,True,False,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94100,2024-07-04T09:04:19.000Z,False,False,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9400000,2024-04-19T15:13:18.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
940,2024-07-11T01:42:05.000Z,False,False,258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
939600,2023-09-21T06:19:02.000Z,False,False,26,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93500,2024-06-24T19:46:45.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
93500,2023-10-18T22:52:39.000Z,False,False,29,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
931,2024-07-11T00:00:22.000Z,False,False,47,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
930300,2024-06-26T21:55:05.000Z,False,False,121,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
930,2024-07-10T16:07:52.000Z,False,False,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,2024-07-10T20:42:17.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
926,2024-07-10T21:20:58.000Z,False,False,237,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
926,2024-05-28T23:30:30.000Z,False,False,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
926,2024-05-14T01:06:32.000Z,False,False,40,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
