diggCount,hashtags_0_id,hashtags_0_name,hashtags_0_title,hashtags_1_id,hashtags_1_name,hashtags_1_title,hashtags_2_id,hashtags_2_name,hashtags_2_title,hashtags_3_id,hashtags_3_name,hashtags_3_title,hashtags_4_id,hashtags_4_name,hashtags_4_title,hashtags_5_id,hashtags_5_name,hashtags_5_title,hashtags_6_id,hashtags_6_name,hashtags_6_title,hashtags_7_id,hashtags_7_name,hashtags_7_title,hashtags_8_id,hashtags_8_name,hashtags_8_title,hashtags_9_id,hashtags_9_name,hashtags_9_title,hashtags_10_id,hashtags_10_name,hashtags_10_title,hashtags_11_id,hashtags_11_name,hashtags_11_title,hashtags_12_id,hashtags_12_name,hashtags_12_title,hashtags_13_id,hashtags_13_name,hashtags_13_title,hashtags_14_id,hashtags_14_name,hashtags_14_title,hashtags_15_id,hashtags_15_name,hashtags_15_title,hashtags_16_id,hashtags_16_name,hashtags_16_title,hashtags_17_id,hashtags_17_name,hashtags_17_title,hashtags_18_id,hashtags_18_name,hashtags_18_title,hashtags_19_id,hashtags_19_name,hashtags_19_title,hashtags_20_id,hashtags_20_name,hashtags_20_title,hashtags_21_id,hashtags_21_name,hashtags_21_title,hashtags_22_id,hashtags_22_name,hashtags_22_title,hashtags_23_id,hashtags_23_name,hashtags_23_title,hashtags_24_id,hashtags_24_name,hashtags_24_title,hashtags_25_id,hashtags_25_name,hashtags_25_title,hashtags_26_id,hashtags_26_name,hashtags_26_title,hashtags_27_id,hashtags_27_name,hashtags_27_title,hashtags_28_id,hashtags_28_name,hashtags_28_title,hashtags_29_id,hashtags_29_name,hashtags_29_title,hashtags_30_id,hashtags_30_name,hashtags_30_title,hashtags_31_id,hashtags_31_name,hashtags_31_title,hashtags_32_id,hashtags_32_name,hashtags_32_title,hashtags_33_id,hashtags_33_name,hashtags_33_title,hashtags_34_id,hashtags_34_name,hashtags_34_title,hashtags_35_id,hashtags_35_name,hashtags_35_title,hashtags_36_id,hashtags_36_name,hashtags_36_title,hashtags_37_id,hashtags_37_name,hashtags_37_title,hashtags_38_id,hashtags_38_name,hashtags_38_title,hashtags_39_id,hashtags_39_name,hashtags_39_title,hashtags_40_id,hashtags_40_name,hashtags_40_title,hashtags_41_id,hashtags_41_name,hashtags_41_title,hashtags_42_id,hashtags_42_name,hashtags_42_title,hashtags_43_id,hashtags_43_name,hashtags_43_title,hashtags_44_id,hashtags_44_name,hashtags_44_title,hashtags_45_id,hashtags_45_name,hashtags_45_title,hashtags_46_id,hashtags_46_name,hashtags_47_id,hashtags_47_name,hashtags_47_title,hashtags_48_id,hashtags_48_name,hashtags_48_title,input,isAd,isMuted,musicMeta_musicAlbum,musicMeta_musicAuthor,musicMeta_musicId,musicMeta_musicName,musicMeta_musicOriginal,playCount,searchHashtag_name,searchHashtag_views,searchQuery,text,videoMeta_duration
565400,82877330.0,futbol,Rueda el balón por las canchas del mundo y los amantes del #futbol somos felices. ⚽ ❤️🤩 Celebremos este momento y llenemos TikTok con los mejores videos 😏,44804.0,copaamerica,See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟,8181.0,mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,31306.0,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,Mercedes Roa,7386495246651181829,sonido original,True,7000000,ecuador,195300000000.0,,ni mi ex jugó así conmigo 🥹 México fuera de la Copa América.   #futbol #copaamerica #mexico #ecuador,31
2395,31306.0,ecuador,,1591315688652802.0,tiktokecuador,,1665156882593797.0,ecuadortiktok🇪🇨,,1658061334315014.0,ennervalencia,,1595392610597893.0,brasileirao,"Futebol, nós te amamos! Os tão aguardados Campeonatos Brasileiros da série A, B, C e D começaram! Muitas rodadas para zoar o adversário, mostrar sua torcida e palpitar o quanto quiser no #Brasileirão!",257522.0,inter,,79952058.0,seleccionecuatoriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,yssac,7140578154413886234,original sound - Ronin,True,68600,ecuador,195300000000.0,,"POR QUÉ CON EL INTER SI METE GOLES Y POR QUÉ CON ECUADOR NO LOS HACE, ENNER🥲🔥 Enner marcó en la derrota 1-2 ante Juventude🐐 #ecuador #tiktokecuador #ecuadortiktok🇪🇨 #ennervalencia #brasileirao #inter #seleccionecuatoriana ",17
733800,,parati,,,trendecuador,,,ecuador,,,asoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,Lo Mejor de la Musica Folklorica,Pueblo Nuevo,7203428957486581761,A mi lindo Ecuador,False,5600000,ecuador,195300000000.0,,Trend Ecuador 🇪🇨 con mucho amor para todos ustedes 💛💙❤️ Esto es un poco de todo lo que es mi Lindo Ecuador 🇪🇨🫶🏻 #parati #trendecuador #ecuador #asoka ,143
394100,20884.0,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,1637342470396934.0,fypシ,,44804.0,copaamerica,See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟,31306.0,ecuador,,40817.0,argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,ecuatorianobsc,7387633795847228165,sonido original,True,3500000,ecuador,195300000000.0,,Hoy juega La tri🇪🇨❤️ #viral #fypシ #copaamerica #ecuador #argentina ,21
1700000,,,,1637342470396934.0,fypシ,,31306.0,ecuador,,20884.0,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,65243.0,parati,,88764338.0,foryoupage,,1592305704978438.0,ecuador🇪🇨,,229207.0,fyp,,7543.0,bestie,"Hey #Bestie, this is for you!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,‍‍‍‍‍‍‍‍‍‍chop,7166649471777131291,ladyfingers,True,15600000,ecuador,195300000000.0,,@Allisson tú y yo 💖 #fypシ  #ecuador #viral #parati #foryoupage #ecuador🇪🇨 #fyp #bestie ,22
148100,31306.0,ecuador,,44804.0,copaamerica,See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,angelina 🪩🤍,7178607561993554694,viva la vida by coldplay,True,1100000,ecuador,195300000000.0,,"NOS TIRARON DE TODO, PERO ECUADOR ESTA EN CUARTOS!!!!❤️🇪🇨 #ecuador #copaamerica ",33
221000,1704958650220550.0,copaamerica2024,,44804.0,copaamerica,See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟,31306.0,ecuador,,1681625820518402.0,latriecuador,,1683265280661506.0,ecuadorvsmexico,,79952058.0,seleccionecuatoriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,Musicas Ecuatorianas 🎶🇪🇨,7081084707202468614,Ecuador si se puede Damiano,True,2400000,ecuador,195300000000.0,,Todo Ecuador hoy 🇪🇨🇪🇨🇪🇨 haz esta cábala también para que ganemos 😂😂 #copaamerica2024 #copaamerica #ecuador #latriecuador #ecuadorvsmexico #seleccionecuatoriana ,29
66500,65243.0,parati,,1637342470396934.0,fypシ,,31306.0,ecuador,,20884.0,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,668361.0,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,ecuatorianobsc,7379481181930769158,sonido original,True,937200,ecuador,195300000000.0,,Hoy juega la tri🇪🇨 #parati #fypシ #ecuador #viral #bolivia ,20
1022,229207.0,fyp,,31306.0,ecuador,,65243.0,parati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,Midnight Mood,7382754891233643270,sonido original,True,4580,ecuador,195300000000.0,,Ig:luisitamorenooo #fyp #ecuador #parati ,32
3100000,229207.0,fyp,,7194430.0,loja,,37584769.0,catamayo,,2233793.0,celulares,,31306.0,ecuador,,31306.0,ecuador,,56291920.0,electrodomesticos,,10197105.0,vir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,,1031Barrera,7267729727854185221,sonido original,True,41000000,ecuador,195300000000.0,,"NADIE SALIÓ HERIDO 😂 Visitanos en Loja o Catamayo, será un placer atenderte 🧡 #fyp #loja #catamayo #celulares #ecuador #ecuador #electrodomesticos #vir ",12
