diggCount,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
36800,1,0,56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
84600,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18100,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
169000,0,0,22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
123900,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2761,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7762,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10400,1,0,27,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76600,0,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
12700,0,0,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
21200,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
65800,0,0,76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27200,0,0,367,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
391,0,0,156,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,0,0,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,0,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
218,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
75,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3714,0,0,25,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
66500,0,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
52,0,0,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
69500,0,0,47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8511,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1002,0,0,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
90900,0,0,108,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2461,0,0,113,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
183,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
75300,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1626,0,0,21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
580000,0,0,60,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
241,0,0,112,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25600,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
529700,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
956,0,0,82,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
111300,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
913100,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36800,0,0,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
529700,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
183,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
2253,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
73,0,0,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
111300,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1221,0,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3099,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11400,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,38,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
240,0,0,59,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2469,0,0,113,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
383800,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
183,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
10400,0,0,21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
209800,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
54500,0,0,216,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
7466,0,0,19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1857,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
41,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25,0,0,19,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
254,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
7844,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16400,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10200,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
580000,0,0,60,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
123900,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11600,1,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
229,0,0,83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
868,0,0,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
151,0,0,16,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
956,0,0,82,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
58800,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
