playCount,createTimeISO,hashtags_0_name,hashtags_0_title,hashtags_1_name,hashtags_1_title,hashtags_2_name,hashtags_2_title,hashtags_3_name,hashtags_3_title,hashtags_4_name,hashtags_4_title,hashtags_5_name,hashtags_5_title,hashtags_6_name,hashtags_6_title,hashtags_7_name,hashtags_7_title,hashtags_8_name,hashtags_8_title,hashtags_9_name,hashtags_9_title,hashtags_10_name,hashtags_10_title,hashtags_11_name,hashtags_11_title,hashtags_12_name,hashtags_12_title,hashtags_13_name,hashtags_13_title,hashtags_14_name,hashtags_14_title,hashtags_15_name,hashtags_15_title,hashtags_16_name,hashtags_16_title,hashtags_17_name,hashtags_17_title,hashtags_18_name,hashtags_18_title,hashtags_19_name,hashtags_19_title,hashtags_20_name,hashtags_20_title,hashtags_21_name,hashtags_21_title,hashtags_22_name,hashtags_22_title,hashtags_23_name,hashtags_23_title,hashtags_24_name,hashtags_24_title,hashtags_25_name,hashtags_25_title,hashtags_26_name,hashtags_26_title,hashtags_27_name,hashtags_27_title,hashtags_28_name,hashtags_28_title,hashtags_29_name,hashtags_29_title,hashtags_30_name,hashtags_30_title,hashtags_31_name,hashtags_31_title,hashtags_32_name,hashtags_32_title,hashtags_33_name,hashtags_33_title,hashtags_34_name,hashtags_34_title,hashtags_35_name,hashtags_35_title,hashtags_36_name,hashtags_36_title,hashtags_37_name,hashtags_37_title,hashtags_38_name,hashtags_38_title,hashtags_39_name,hashtags_39_title,hashtags_40_name,hashtags_40_title,hashtags_41_name,hashtags_41_title,hashtags_42_name,hashtags_42_title,hashtags_43_name,hashtags_43_title,hashtags_44_name,hashtags_44_title,hashtags_45_name,hashtags_45_title,hashtags_46_name,hashtags_47_name,hashtags_47_title,hashtags_48_name,hashtags_48_title,input,isAd,isMuted,musicMeta_musicName,searchHashtag_name,searchHashtag_views,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
9986,2024-07-10T23:58:02.000Z,,,ceraveteapaña,,publicidad,,ceravepartner,,acne,,esenciales,,skincare,S is for Skincare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publicidad,False,False,sonido original,publicidad,59000000000.0,72,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
997500,2022-11-08T23:23:08.000Z,lodescubrientiktok,en 2022 descubriste ideas útiles y cool en TikTok y 2023 no será la excepción,ofertas,,descuentos,,chileofertas,,chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,False,False,PUNTO 40,ofertas,14200000000.0,36,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
99700,2024-07-11T00:35:33.000Z,santodomingoecuador,,santodomingodelostsachilas,,ecuador,,quito,,guayaquil,,manta,,machala,,riobamba,,caldos,,food,,foodie,Love food? Show us your favorite dishes and recipes.,usa,,mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,machala,False,False,sonido original - camaraenaccion_,machala,3600000000.0,113,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False
995000,2024-05-17T23:53:57.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comerciales,False,False,sonido original,comerciales,789600000.0,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99500,2024-07-11T00:35:33.000Z,santodomingoecuador,,santodomingodelostsachilas,,ecuador,,quito,,guayaquil,,manta,,machala,,riobamba,,caldos,,food,,foodie,Love food? Show us your favorite dishes and recipes.,usa,,mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,False,False,sonido original - camaraenaccion_,santodomingoecuador,1700000000.0,113,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False
994600,2024-02-09T21:07:32.000Z,parati,,escardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anuncio,False,False,sonido original,anuncio,1900000000.0,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
994300,2023-11-16T03:05:42.000Z,missuniversefp,,missuniverse,,missuniverso,,missuniverse2023,,missuniverso2023,,delarystoffers,,ecuador,,fy,,fyp,,fypシ,,parati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,original sound,,,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
993800,2024-01-12T03:23:34.000Z,kia,,sorentohybrid,,car,,aceite,,filtro,,kendall,,amalie,,mobil,,gulf,,distribuidor,,adultoindependiente,,gustosbiendementes,,lubricantes,,ambato,,lubricantesindoamerica,,elpalaciodelfiltro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambato,False,False,sonido original,ambato,4600000000.0,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9918,2024-03-02T19:02:40.000Z,capcut,"CapCut is a new, easy-to-use video editing tool designed for mobile platforms. CapCut provides users with a wide range of video editing functions, filters, audio &amp; visual effects, video templates, while keeping it free of charge and ads-free. Everyone can be a creator by using CapCut. Start creating your cool videos today: https://capcut.onelink.me/XKqI/228cad85",foryoupage,,flypシ,,fly,,aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,False,False,original sound,ofertas,14200000000.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
991400,2023-08-26T15:04:00.000Z,tiktokmademebuyit,Give us a review.,tiktokfinds,,goodthings,,lifehacks,Show us those tips and tricks that have changed your life.,useful,,musthaves,"Whether you're shopping online, or hitting your local stores, show us those #MustHaves that everyone needs.",instagood,,fypage,,foryou,,foryoupage,,reels,,instareels,,viralvideos,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,amazing,,amazonfinds2024,,amazon gadgets buy it,,amazongadgets,,kitchenhacks,From essential gadgets to perfect recipes: share your #KitchenHacks.,kitchenfinds,,trend,,trendingproducts2024,,fypシ゚viral,,fypシ,,amazonbestfinds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,False,False,People,ofertas,14200000000.0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9900000,2024-02-02T13:34:31.000Z,pedernales_manabí_ecuador,,carnaval,"Aunque se hayan pospuesto las celebraciones en tu comunidad, esta semana puedes disfrutar de los Carnavales en TikTok. Queremos ver tus disfraces, tus storytimes más impactantes o tus ideas más alocadas para compartir con tus amigxs 🥳",camiseros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,False,False,LA FALDA,ecuador,195300000000.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9900000,2023-11-06T01:45:34.000Z,humor,¡Es hora de reírte como nunca! Los videos más divertidos están aquí en TikTok. 😂😂😂,fyp,,limpias,,tiktok,,parati,,quitameesehombre,,foryou,,shaman,,jajaja,"JAJAJA 😂😂😂 Y a tí, ¿qué te hace reír?",cuenca,,ecuador,,comparte,,hazmeviraltiktok,,mima116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,False,False,sonido original,cuenca,11700000000.0,30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9895,2023-10-02T15:23:36.000Z,lojaderoupas,,comediatiktok,,videosengracados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loja,False,False,som original,loja,8300000000.0,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
988900,2024-05-31T20:14:37.000Z,locucion,,agencia,,voiceover,"Voice Over for videos? We've got that. Try our new #VoiceOver feature, and tell us what's going on in your world. 🗣️",estudio,,locucioncomercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comercial,False,False,sonido original - maikolofoniestudio,comercial,3100000000.0,92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
