playCount,createTimeISO,isAd,isMuted,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,promoecuador,comerciales,santodomingoecuador,guayaquil,cuenca
9986,2024-07-10T23:58:02.000Z,False,False,72,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
997500,2022-11-08T23:23:08.000Z,False,False,36,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
99700,2024-07-11T00:35:33.000Z,False,False,113,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False
995000,2024-05-17T23:53:57.000Z,False,False,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99500,2024-07-11T00:35:33.000Z,False,False,113,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False
994600,2024-02-09T21:07:32.000Z,False,False,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
994300,2023-11-16T03:05:42.000Z,False,False,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
993800,2024-01-12T03:23:34.000Z,False,False,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9918,2024-03-02T19:02:40.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
991400,2023-08-26T15:04:00.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9900000,2024-02-02T13:34:31.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9900000,2023-11-06T01:45:34.000Z,False,False,30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9895,2023-10-02T15:23:36.000Z,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
988900,2024-05-31T20:14:37.000Z,False,False,92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
984000,2024-06-22T19:34:09.000Z,False,False,23,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
982,2024-07-10T19:35:37.000Z,False,False,173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
981300,2023-12-04T23:47:56.000Z,False,False,106,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
980600,2023-05-31T00:03:47.000Z,False,False,49,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
980600,2023-07-03T19:38:47.000Z,False,False,158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9800000,2024-01-23T21:25:37.000Z,False,False,9,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
976900,2024-06-09T15:07:44.000Z,False,False,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
976100,2024-06-14T17:46:48.000Z,True,False,34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
974900,2023-11-29T23:26:34.000Z,False,False,40,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
974000,2024-05-08T21:39:13.000Z,False,False,119,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
973,2024-07-10T21:39:16.000Z,False,False,57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
971600,2024-05-24T23:34:31.000Z,False,False,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9700000,2024-05-20T12:22:03.000Z,False,False,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9700000,2024-02-06T22:23:24.000Z,False,False,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9700000,2024-04-25T12:39:28.000Z,False,True,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96700,2024-07-10T22:56:59.000Z,False,False,299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
967,2024-07-10T16:03:21.000Z,False,False,138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
965300,2024-06-24T22:22:55.000Z,False,False,17,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96400,2024-01-27T18:05:15.000Z,False,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
963600,2024-01-03T23:54:48.000Z,False,False,79,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
963,2024-07-11T01:37:54.000Z,False,False,55,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
960600,2024-06-28T09:31:58.000Z,False,False,449,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9600000,2023-12-12T00:30:22.000Z,False,False,65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9600000,2024-03-24T00:04:45.000Z,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96000,2024-05-15T16:58:44.000Z,False,False,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
958,2024-07-11T01:17:28.000Z,False,False,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
956200,2024-01-29T03:52:02.000Z,False,False,45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9562,2023-09-20T15:09:06.000Z,False,False,41,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
953700,2024-06-20T14:45:10.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9519,2023-05-20T17:11:58.000Z,False,False,153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
951200,2022-11-16T21:39:38.000Z,False,False,12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
95100,2023-09-24T21:33:50.000Z,False,False,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95000,2024-04-24T14:10:42.000Z,True,False,33,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
95,2024-07-10T22:30:34.000Z,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
949100,2024-05-09T13:02:05.000Z,False,False,79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9400000,2024-03-23T02:03:21.000Z,False,False,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
939500,2024-03-31T03:28:11.000Z,False,False,22,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
939200,2024-07-01T17:58:39.000Z,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93900,2023-01-12T20:32:07.000Z,False,False,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
937200,2024-06-12T05:15:56.000Z,False,False,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93600,2024-05-31T18:07:58.000Z,False,False,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93600,2024-06-28T07:54:05.000Z,False,False,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
935800,2024-07-04T23:23:41.000Z,False,False,56,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
934500,2024-01-29T20:29:41.000Z,False,False,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9310,2024-07-10T23:02:32.000Z,False,False,32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
