diggCount;hashtags_0_cover;hashtags_0_id;hashtags_0_name;hashtags_0_title;hashtags_1_cover;hashtags_1_id;hashtags_1_name;hashtags_1_title;hashtags_2_cover;hashtags_2_id;hashtags_2_name;hashtags_2_title;hashtags_3_cover;hashtags_3_id;hashtags_3_name;hashtags_3_title;hashtags_4_cover;hashtags_4_id;hashtags_4_name;hashtags_4_title;hashtags_5_cover;hashtags_5_id;hashtags_5_name;hashtags_5_title;hashtags_6_cover;hashtags_6_id;hashtags_6_name;hashtags_6_title;hashtags_7_cover;hashtags_7_id;hashtags_7_name;hashtags_7_title;hashtags_8_cover;hashtags_8_id;hashtags_8_name;hashtags_8_title;hashtags_9_cover;hashtags_9_id;hashtags_9_name;hashtags_9_title;hashtags_10_cover;hashtags_10_id;hashtags_10_name;hashtags_10_title;hashtags_11_cover;hashtags_11_id;hashtags_11_name;hashtags_11_title;hashtags_12_cover;hashtags_12_id;hashtags_12_name;hashtags_12_title;hashtags_13_cover;hashtags_13_id;hashtags_13_name;hashtags_13_title;hashtags_14_cover;hashtags_14_id;hashtags_14_name;hashtags_14_title;hashtags_15_cover;hashtags_15_id;hashtags_15_name;hashtags_15_title;hashtags_16_cover;hashtags_16_id;hashtags_16_name;hashtags_16_title;hashtags_17_cover;hashtags_17_id;hashtags_17_name;hashtags_17_title;hashtags_18_cover;hashtags_18_id;hashtags_18_name;hashtags_18_title;hashtags_19_cover;hashtags_19_id;hashtags_19_name;hashtags_19_title;hashtags_20_cover;hashtags_20_id;hashtags_20_name;hashtags_20_title;hashtags_21_cover;hashtags_21_id;hashtags_21_name;hashtags_21_title;hashtags_22_cover;hashtags_22_id;hashtags_22_name;hashtags_22_title;hashtags_23_cover;hashtags_23_id;hashtags_23_name;hashtags_23_title;hashtags_24_cover;hashtags_24_id;hashtags_24_name;hashtags_24_title;hashtags_25_cover;hashtags_25_id;hashtags_25_name;hashtags_25_title;hashtags_26_cover;hashtags_26_id;hashtags_26_name;hashtags_26_title;hashtags_27_cover;hashtags_27_id;hashtags_27_name;hashtags_27_title;hashtags_28_cover;hashtags_28_id;hashtags_28_name;hashtags_28_title;hashtags_29_cover;hashtags_29_id;hashtags_29_name;hashtags_29_title;hashtags_30_cover;hashtags_30_id;hashtags_30_name;hashtags_30_title;hashtags_31_cover;hashtags_31_id;hashtags_31_name;hashtags_31_title;hashtags_32_cover;hashtags_32_id;hashtags_32_name;hashtags_32_title;hashtags_33_cover;hashtags_33_id;hashtags_33_name;hashtags_33_title;hashtags_34_cover;hashtags_34_id;hashtags_34_name;hashtags_34_title;hashtags_35_cover;hashtags_35_id;hashtags_35_name;hashtags_35_title;hashtags_36_cover;hashtags_36_id;hashtags_36_name;hashtags_36_title;hashtags_37_cover;hashtags_37_id;hashtags_37_name;hashtags_37_title;hashtags_38_cover;hashtags_38_id;hashtags_38_name;hashtags_38_title;hashtags_39_cover;hashtags_39_id;hashtags_39_name;hashtags_39_title;hashtags_40_cover;hashtags_40_id;hashtags_40_name;hashtags_40_title;hashtags_41_cover;hashtags_41_id;hashtags_41_name;hashtags_41_title;hashtags_42_cover;hashtags_42_id;hashtags_42_name;hashtags_42_title;hashtags_43_cover;hashtags_43_id;hashtags_43_name;hashtags_43_title;hashtags_44_cover;hashtags_44_id;hashtags_44_name;hashtags_44_title;hashtags_45_cover;hashtags_45_id;hashtags_45_name;hashtags_45_title;hashtags_46_id;hashtags_46_name;hashtags_47_cover;hashtags_47_id;hashtags_47_name;hashtags_47_title;hashtags_48_cover;hashtags_48_id;hashtags_48_name;hashtags_48_title;input;isAd;isMuted;musicMeta_coverMediumUrl;musicMeta_musicAlbum;musicMeta_musicAuthor;musicMeta_musicId;musicMeta_musicName;musicMeta_musicOriginal;playCount;searchHashtag_name;searchHashtag_views;searchQuery;text;videoMeta_duration
565400;https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/32e9a7dea4be6e8890459ce5479a12e1.jpeg?nonce=7940&refresh_token=87e671292eefdefedae55ed265f3984b&shp=b59d6b55&shcp=-;82877330;futbol;Rueda el balón por las canchas del mundo y los amantes del #futbol somos felices. ⚽ ❤️🤩 Celebremos este momento y llenemos TikTok con los mejores videos 😏;;44804;copaamerica;See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟;;8181;mexico;México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!;;31306;ecuador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/23cdd0f91700f7fffe28df1e4d96acba~c5_720x720.jpeg?lk3s=a5d48078&nonce=54588&refresh_token=b468db03e681e64a874b419d05f51a5f&x-expires=1720839600&x-signature=j205x%2B2VakL9yGOUv79g0EXdOK4%3D&shp=a5d48078&shcp=b59d6b55;;Mercedes Roa;7386495246651181829;sonido original;true;7000000;ecuador;195300000000;;ni mi ex jugó así conmigo 🥹 México fuera de la Copa América.   #futbol #copaamerica #mexico #ecuador;31
178700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7d3608d578a5238d78a537484bff8ffd~c5_720x720.jpeg?lk3s=a5d48078&nonce=58926&refresh_token=9c54e72ca9aaa184cd541519d24dd5f8&x-expires=1720839600&x-signature=Hf0RVRX%2FROQZ%2FCSjjCTgfIbtkYU%3D&shp=a5d48078&shcp=b59d6b55;;Ecuador Heroes;7381271537011886854;sonido original;true;1800000;ecuador;195300000000;;🎙️ Jeremy Sarmiento on Ecuador this Copa America:  “Why not? Dream big and maybe win it.” 🏆🇪🇨;76
2395;;31306;ecuador;;;1591315688652802;tiktokecuador;;;1665156882593797;ecuadortiktok🇪🇨;;;1658061334315014;ennervalencia;;;1595392610597893;brasileirao;Futebol, nós te amamos! Os tão aguardados Campeonatos Brasileiros da série A, B, C e D começaram! Muitas rodadas para zoar o adversário, mostrar sua torcida e palpitar o quanto quiser no #Brasileirão!;;257522;inter;;;79952058;seleccionecuatoriana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/41254f52ab3e9861e3f809655f29b2ea~c5_720x720.jpeg?lk3s=a5d48078&nonce=83355&refresh_token=53491a7b00c6963b572388bfc19ed455&x-expires=1720839600&x-signature=70UvclhNsNCttzqJ8PEjKggBVcQ%3D&shp=a5d48078&shcp=b59d6b55;;yssac;7140578154413886234;original sound - Ronin;true;68600;ecuador;195300000000;;POR QUÉ CON EL INTER SI METE GOLES Y POR QUÉ CON ECUADOR NO LOS HACE, ENNER🥲🔥 Enner marcó en la derrota 1-2 ante Juventude🐐 #ecuador #tiktokecuador #ecuadortiktok🇪🇨 #ennervalencia #brasileirao #inter #seleccionecuatoriana ;17
733800;;;parati;;;;trendecuador;;;;ecuador;;;;asoka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/5fd4523633de4fa39555f89c9f78753b.jpeg;Lo Mejor de la Musica Folklorica;Pueblo Nuevo;7203428957486581761;A mi lindo Ecuador;false;5600000;ecuador;195300000000;;Trend Ecuador 🇪🇨 con mucho amor para todos ustedes 💛💙❤️ Esto es un poco de todo lo que es mi Lindo Ecuador 🇪🇨🫶🏻 #parati #trendecuador #ecuador #asoka ;143
394100;https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/8e4d8102460a60717c89acc2d6367a16.png?nonce=15085&refresh_token=c535be2acdcb413383b69d6a2bedaf73&shp=b59d6b55&shcp=-;20884;viral;¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM;;1637342470396934;fypシ;;;44804;copaamerica;See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟;;31306;ecuador;;;40817;argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/912f0081feac6de623fea8fe09f9a631~c5_720x720.jpeg?lk3s=a5d48078&nonce=11724&refresh_token=170b6fc533584825f6631035484289be&x-expires=1720839600&x-signature=BpElFchwofpOi%2FGsnYSWE%2B7wIX4%3D&shp=a5d48078&shcp=b59d6b55;;ecuatorianobsc;7387633795847228165;sonido original;true;3500000;ecuador;195300000000;;Hoy juega La tri🇪🇨❤️ #viral #fypシ #copaamerica #ecuador #argentina ;21
120600;;;;;;33365250;armyecuador;;;34508393;btsecuador;;;11181385;btsxarmy;;;79215592;bt21;;;4175;bts;;;229207;fyp;;;1641236262278149;fypシ゚;;;24740;army;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/531f9dd46e69409b5c98f0094feaed74~c5_720x720.jpeg?lk3s=a5d48078&nonce=7149&refresh_token=a801fba1980cd703f966bd0bfbafb88d&x-expires=1720839600&x-signature=tU6pD%2BG2MVI8E0ljxleBCq0LOKg%3D&shp=a5d48078&shcp=b59d6b55;;mr6060811;7181131450191366917;sonido original;true;1000000;ecuador;195300000000;;😭En la búsqueda del MANG pérdido.......  Resumen: Jamás lo encontramos 🥲  @Miniso Ecuador  #armyecuador #btsecuador #btsxarmy #bt21 #bts #fyp #fypシ゚ #ARMY ;19
118;;7086713667542056966;kendrypaez;;;7204200905376759814;kendrypaez🇪🇨;;;260030;novia;;;18642160;nuevanovia;;;1612516388594694;independientedelvalle;;;1592305704978438;ecuador🇪🇨;;;1595056594918405;ecuadortiktok;;;1652574850980869;flypシ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/60c3edc3b3eb4089ad9963197fd954ad.jpeg;MMM;Minelli;7080610536798324737;MMM;false;3379;ecuador;195300000000;;La nueva novia de kendry Páez #kendrypaez #kendrypaez🇪🇨 #novia #nuevanovia #independientedelvalle #ecuador🇪🇨 #ecuadortiktok #flypシ ;14
1700000;;;;;;1637342470396934;fypシ;;;31306;ecuador;;https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/8e4d8102460a60717c89acc2d6367a16.png?nonce=19191&refresh_token=0b102f1cdc0456ada168db90186edadc&shp=b59d6b55&shcp=-;20884;viral;¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM;;65243;parati;;;88764338;foryoupage;;;1592305704978438;ecuador🇪🇨;;;229207;fyp;;;7543;bestie;Hey #Bestie, this is for you!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/f4736892b43fa746a44ef9fd04ae0719~c5_720x720.jpeg?lk3s=a5d48078&nonce=36549&refresh_token=ee5da2f653ab9a899929315ff0a8bd5f&x-expires=1720839600&x-signature=v5zCnr%2FnVAHMAqNKUFb%2BTbs73uk%3D&shp=a5d48078&shcp=b59d6b55;;‍‍‍‍‍‍‍‍‍‍chop;7166649471777131291;ladyfingers;true;15600000;ecuador;195300000000;;@Allisson tú y yo 💖 #fypシ  #ecuador #viral #parati #foryoupage #ecuador🇪🇨 #fyp #bestie ;22
148100;;31306;ecuador;;;44804;copaamerica;See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7359189808026058758~c5_720x720.jpeg?lk3s=a5d48078&nonce=77523&refresh_token=a346b57b5043f1bf4029b18561f974b2&x-expires=1720839600&x-signature=hCOYgH9XiK8gdnzlJ1M9YzKTQBg%3D&shp=a5d48078&shcp=b59d6b55;;angelina 🪩🤍;7178607561993554694;viva la vida by coldplay;true;1100000;ecuador;195300000000;;NOS TIRARON DE TODO, PERO ECUADOR ESTA EN CUARTOS!!!!❤️🇪🇨 #ecuador #copaamerica ;33
221000;;1704958650220550;copaamerica2024;;;44804;copaamerica;See the best moments from the CONMEBOL Copa América on TikTok! ⚽️🌟;;31306;ecuador;;;1681625820518402;latriecuador;;;1683265280661506;ecuadorvsmexico;;;79952058;seleccionecuatoriana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ecuador;false;false;https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/db4c2b4c34d6aa0b42ce68ce521d88d2~c5_720x720.jpeg?lk3s=a5d48078&nonce=48099&refresh_token=b2d1d0e735138562c4e3fe308e22cf12&x-expires=1720839600&x-signature=9RK4c7YyhmMaKdxccHuTMZTVwH8%3D&shp=a5d48078&shcp=b59d6b55;;Musicas Ecuatorianas 🎶🇪🇨;7081084707202468614;Ecuador si se puede Damiano;true;2400000;ecuador;195300000000;;Todo Ecuador hoy 🇪🇨🇪🇨🇪🇨 haz esta cábala también para que ganemos 😂😂 #copaamerica2024 #copaamerica #ecuador #latriecuador #ecuadorvsmexico #seleccionecuatoriana ;29
