diggCount,input,isAd,isMuted,musicMeta_musicName,searchHashtag_name,searchHashtag_views,searchQuery,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,comerciales,santodomingoecuador,guayaquil,cuenca
565400,6,0,0,617,6,195300000000.0,1,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178700,6,0,0,617,6,195300000000.0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,6,0,0,570,6,195300000000.0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733800,6,0,0,12,6,195300000000.0,1,143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394100,6,0,0,617,6,195300000000.0,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120600,6,0,0,617,6,195300000000.0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6,0,0,267,6,195300000000.0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700000,6,0,0,530,6,195300000000.0,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148100,6,0,0,675,6,195300000000.0,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221000,6,0,0,152,6,195300000000.0,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66500,6,0,0,617,6,195300000000.0,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,6,0,0,617,6,195300000000.0,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100000,6,0,0,617,6,195300000000.0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6694,6,0,0,285,6,195300000000.0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4427,6,0,0,310,6,195300000000.0,1,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716800,6,0,0,71,6,195300000000.0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76100,6,0,0,540,6,195300000000.0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2730,6,0,0,617,6,195300000000.0,1,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2842,6,0,0,617,6,195300000000.0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92300,6,0,0,617,6,195300000000.0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177200,6,0,0,617,6,195300000000.0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111200,6,0,0,617,6,195300000000.0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870,6,0,0,617,6,195300000000.0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69400,6,0,0,463,6,195300000000.0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176400,6,0,0,617,6,195300000000.0,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29900,6,0,0,617,6,195300000000.0,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13500,6,0,0,138,6,195300000000.0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205,6,0,0,416,6,195300000000.0,1,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28100,6,0,0,617,6,195300000000.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2244,6,0,0,617,6,195300000000.0,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445300,0,0,0,616,0,525800000000.0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25100,0,0,0,540,0,525800000000.0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30800,0,0,0,540,0,525800000000.0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,0,0,0,540,0,525800000000.0,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5182,0,0,0,540,0,525800000000.0,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000,0,0,0,616,0,525800000000.0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5643,0,0,0,540,0,525800000000.0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,0,0,0,540,0,525800000000.0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6621,0,0,0,540,0,525800000000.0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20700,0,0,0,540,0,525800000000.0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458000,0,0,0,540,0,525800000000.0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,582,0,525800000000.0,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5046,0,0,0,540,0,525800000000.0,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381900,0,0,0,540,0,525800000000.0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,0,1,0,617,0,525800000000.0,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9400000,0,0,0,266,0,525800000000.0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561500,0,0,0,684,0,525800000000.0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,617,0,525800000000.0,1,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289200,0,0,0,684,0,525800000000.0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290900,0,0,0,642,0,525800000000.0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359000,0,0,0,596,0,525800000000.0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706000,0,0,0,545,0,525800000000.0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33500,0,0,0,540,0,525800000000.0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33100,0,0,0,540,0,525800000000.0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253500,0,0,0,540,0,525800000000.0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695100,0,0,0,540,0,525800000000.0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246700,0,0,0,466,0,525800000000.0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352300,0,0,0,540,0,525800000000.0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260700,0,0,0,678,0,525800000000.0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,6,0,0,468,6,195300000000.0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,6,0,0,617,6,195300000000.0,1,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,6,0,0,617,6,195300000000.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43900,6,0,0,175,6,195300000000.0,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407100,6,0,0,617,6,195300000000.0,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,6,0,0,231,6,195300000000.0,1,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46300,6,0,0,617,6,195300000000.0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12200,6,0,0,617,6,195300000000.0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000,6,0,1,10,6,195300000000.0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259600,6,0,0,236,6,195300000000.0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3246,6,0,0,666,6,195300000000.0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,6,0,0,617,6,195300000000.0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,6,0,0,617,6,195300000000.0,1,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,6,0,0,617,6,195300000000.0,1,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29300,6,0,0,617,6,195300000000.0,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6,0,0,540,6,195300000000.0,1,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102000,6,0,0,688,6,195300000000.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,6,0,0,617,6,195300000000.0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,6,0,0,617,6,195300000000.0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,6,0,0,617,6,195300000000.0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43400,6,0,0,617,6,195300000000.0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454300,6,0,0,449,6,195300000000.0,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951800,6,0,0,617,6,195300000000.0,1,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123600,6,0,0,617,6,195300000000.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42500,6,0,1,617,6,195300000000.0,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,6,0,0,701,6,195300000000.0,1,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7200,6,0,0,617,6,195300000000.0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
